id,source_file,source_dimensions,detected_visible_bounds,manual_crop_bounds,scale_factor,placement,final_rendered_bounds,output_file,output_dimensions,output_format,output_colour_space,output_file_size_bytes
classic-cheese-burger,public/assets/menu/classic cheese burger.png,"[1672,941]","[272,162,1526,774]","[250,140,1550,800]",0.953846,"{""x"":180,""y"":285,""width"":1240,""height"":630}","[200,306,1397,891]",public/assets/menu/normalized/classic-cheese-burger.webp,"[1600,1200]",WEBP,sRGB,200656
bacon-lovers-double,public/assets/menu/bacon-lovers-double.png,"[1456,941]","[90,77,1365,874]","[70,58,1384,894]",0.898021,"{""x"":210,""y"":224,""width"":1180,""height"":751}","[228,240,1373,957]",public/assets/menu/normalized/bacon-lovers-double.webp,"[1600,1200]",WEBP,sRGB,290308
truffle-oh-mama-double,public/assets/menu/truffle-oh-mama-double.png,"[1295,1025]","[80,92,1216,926]","[60,75,1234,945]",0.954003,"{""x"":240,""y"":186,""width"":1120,""height"":829}","[258,202,1343,1002]",public/assets/menu/normalized/truffle-oh-mama-double.webp,"[1600,1200]",WEBP,sRGB,222658
mamas-original-single,public/assets/menu/mamas-original-single.png,"[1331,1027]","[87,103,1268,884]","[66,84,1285,905]",0.918786,"{""x"":240,""y"":223,""width"":1120,""height"":754}","[259,240,1340,957]",public/assets/menu/normalized/mamas-original-single.webp,"[1600,1200]",WEBP,sRGB,200316
mama-in-paris,public/assets/menu/Mama in Paris.png,"[1672,941]","[136,177,1561,769]","[120,155,1578,790]",0.85048,"{""x"":180,""y"":330,""width"":1240,""height"":540}","[193,347,1406,852]",public/assets/menu/normalized/mama-in-paris.webp,"[1600,1200]",WEBP,sRGB,158758
big-tokyo,public/assets/menu/big-tokyo.png,"[1123,1401]","[0,396,1123,1368]","[0,330,1123,1401]",0.784506,"{""x"":360,""y"":150,""width"":881,""height"":840}","[359,201,1243,964]",public/assets/menu/normalized/big-tokyo.webp,"[1600,1200]",WEBP,sRGB,226144
crispy-mam,public/assets/menu/CRISPY MAM.png,"[1672,941]","[244,105,1402,848]","[220,80,1426,870]",0.945274,"{""x"":230,""y"":226,""width"":1140,""height"":747}","[252,249,1347,952]",public/assets/menu/normalized/crispy-mam.webp,"[1600,1200]",WEBP,sRGB,250890
lava-mam-chicken,public/assets/menu/lava-mam-chicken.png,"[1656,950]","[201,83,1461,950]","[180,62,1480,950]",0.892308,"{""x"":220,""y"":204,""width"":1160,""height"":793}","[239,222,1363,997]",public/assets/menu/normalized/lava-mam-chicken.webp,"[1600,1200]",WEBP,sRGB,272572
truffle-parmesan-chicken,public/assets/menu/truffle-parmesan-chicken.png,"[1659,948]","[214,101,1456,845]","[200,80,1470,870]",0.913386,"{""x"":220,""y"":240,""width"":1160,""height"":721}","[232,259,1368,939]",public/assets/menu/normalized/truffle-parmesan-chicken.webp,"[1600,1200]",WEBP,sRGB,228880
crispy-chicken-strips,public/assets/menu/APPETIZER 1.png,"[1672,941]","[272,163,1499,785]","[240,140,1530,808]",0.930233,"{""x"":200,""y"":290,""width"":1200,""height"":621}","[229,311,1376,890]",public/assets/menu/normalized/crispy-chicken-strips.webp,"[1600,1200]",WEBP,sRGB,174496
